wid,weibo_link,content,img_urls,origin_img_urls,is_origin,location,publish_time,publish_tool,like_num,forward_num,comment_num
N69gurVBE,https://weibo.cn/comment/N69gurVBE?uid=2014433131&rl=0#cmtfrm,早盘有点均衡的意思了，但轮动很快，手都敲断了。不参与吧，不赚钱，参与吧，不一定能赚钱，摁葫芦起瓢的。纯粹当为万亿成交做贡献了。今天震荡充分些，明天盘面就稳点，节后预期也好点。  ,,无,True,无,2023-06-20 10:38,微博网页版,1959,12,121
N68DdAA4m,https://weibo.cn/comment/N68DdAA4m?uid=2014433131&rl=0#cmtfrm,"转发理由:韭菜敢摁我头教育我，这是什么信号? 查看图片 //@大与:你都看空cpo快半个月了，总的来说到最后肯定是你正确，但是就跟这么多年看空房价的专家一样，不参与泡沫的过程也是被洗劫的过程……  
原始用户: 唐史主任司马迁
转发内容: 我尽量客观地说，尽量少得罪人地说实话。昨天的TMT占比已经极度高了，参照以往的几次调整，这一次的调整也快了。光模块还有多长的疯狗浪我不知道，但当一个光模块企业市值接近或超过一个核心ICT企业的时候，揣着明白装糊涂的人，就很难继续装下去了。你只是做光模块，他一样买通信，但送GPU，即使出...全文 ",https://ww4.sinaimg.cn/bmiddle/7811cf6bly1hf4eq79yvkj20mx0hsdmj.jpg,,False,无,2023-06-20 09:02,微博网页版,1990,34,328
N68wIh20b,https://weibo.cn/comment/N68wIh20b?uid=2014433131&rl=0#cmtfrm,我尽量客观地说，尽量少得罪人地说实话。昨天的TMT占比已经极度高了，参照以往的几次调整，这一次的调整也快了。光模块还有多长的疯狗浪我不知道，但当一个光模块企业市值接近或超过一个核心ICT企业的时候，揣着明白装糊涂的人，就很难继续装下去了。你只是做光模块，他一样买通信，但送GPU，即使出...全文 ,,无,True,无,2023-06-20 08:46,微博网页版,3563,274,290
N68ekiJsp,https://weibo.cn/comment/N68ekiJsp?uid=2014433131&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 中国政府网
转发内容: 【李强同德国工商界代表座谈交流】李强同德国工商界代表座谈交流  原图 ",无,http://ww4.sinaimg.cn/large/005sq2Yvly1hf4cv45rtoj60m80fw0xx02.jpg,False,无,2023-06-20 08:00,微博网页版,14,0,0
N687GifaX,https://weibo.cn/comment/N687GifaX?uid=2014433131&rl=0#cmtfrm,早上有事要出门一下，就不码长文了。市场正向催化还是比较多的，风险主要在高位博弈带来的震荡，每次节前都这样。同板块高切低对盘面的影响小一些，大切换大轮动带来的冲击大一些。但整体而言，节前震比节后震好。  ,,无,True,无,2023-06-20 07:44,iPhone 14 Pro Max,1835,8,106
N62CwF5GQ,https://weibo.cn/comment/N62CwF5GQ?uid=2014433131&rl=0#cmtfrm,疯狗浪的时候不要听逻辑，因为听逻辑你可能不止是F，可能都是Z-plus了。疯狗浪看图就好，尤其成交巨大的大票，图很难骗人的。不要盼他跌，他可能不跌。跌了不要盼他涨，他可能继续跌。服从自己的交易原则，卖飞了不追，没卖就等图说要卖再卖。  ,,无,True,无,2023-06-19 17:43,iPhone 14 Pro Max,2883,95,209
N61gwFzhA,https://weibo.cn/comment/N61gwFzhA?uid=2014433131&rl=0#cmtfrm,倒计时2天！V+底价8折，现在订阅我的年费，可100%中奖（最高可得6666元）#年中福利盛典#火热进行中，限时8折，[收到]点击领取↓↓↓ 成为TA的V+会员  ,,无,True,无,2023-06-19 14:16,财经股票,327,3,12
N60X9v9ou,https://weibo.cn/comment/N60X9v9ou?uid=2014433131&rl=0#cmtfrm,缺口也补完了，算力疯狗浪拉差不多，再来一两个板块动动，凑一万亿收工挺好的。  ,,无,True,无,2023-06-19 13:29,微博网页版,2334,10,135
N60trFPGU,https://weibo.cn/comment/N60trFPGU?uid=2014433131&rl=0#cmtfrm,小作文发展到当前阶段，一种有模有样仿效卖方行文风格，甚至直接冠以某个温和的反击力量较小但最近吹票溢价还可以的券商卖方，快速在各个群传播。一种是绝对没人写段子，但口口相传，传了五六道之后，信息主干还是原样。这两种模式，前者是低风险造谣，后者不敢写段子，是因为泄密往往比造谣罪更重...全文 ,,无,True,无,2023-06-19 12:16,微博网页版,1853,8,96
N5ZEW3w9J,https://weibo.cn/comment/N5ZEW3w9J?uid=2014433131&rl=0#cmtfrm,预期是周二周三卷，按A股尿性，果然周一就卷。这样也好，消停几分钟，让上证把技术派关心的缺口补了啊。然后你预期补缺口，就又博弈成，缺口之上就互相卡位。  ,,无,True,无,2023-06-19 10:11,微博网页版,2198,11,106
N5Z41bFxm,https://weibo.cn/comment/N5Z41bFxm?uid=2014433131&rl=0#cmtfrm,前段时间，有个朋友所在的公司股票被拉升了一段，然后朋友就打电话来问，市场到底怎么看待他们公司，看待他们行业？他说他老板也比较迷茫，就想知道资本市场是短时炒作还是真的看好行业复苏要来了？我琢磨了一达通后，是这么回复的：市场首先是认为你们公司低估了，比较安全，才会去炒。去炒的人里，...全文 ,,无,True,无,2023-06-19 08:40,微博网页版,3841,192,232
N5YUs8ym4,https://weibo.cn/comment/N5YUs8ym4?uid=2014433131&rl=0#cmtfrm,本周只有三个交易日，目前量已经有逐步恢复的态势，如果这三天能继续保持在万亿级别，那么博弈一点也没啥问题，反正每次节假都是要博弈一下的。外事方面，双方外长会已经出了通稿，都说得很清楚，建议看原文。关键还是看美方能否回到上一次巴厘岛会晤的既定方向上来。总理上任以来第一次出访，参加中...全文 ,,无,True,无,2023-06-19 08:17,微博网页版,2972,91,214
N5Jfu7atU,https://weibo.cn/comment/N5Jfu7atU?uid=2014433131&rl=0#cmtfrm,高速增长期，就好像一群猴子到了蟠桃园，没有猴子会关心谁吃的桃子大，谁吃的桃子多。即使是一个猴子抢了另一个猴子的桃子，被抢的最多也就是瞪一眼，继续摘别的去，互相折腾耽误事，桃子有的是。中速增长，就好比从蟠桃园回到了花果山，一年下来，只有那么些桃子，堆在山洞当间。谁先拿谁后拿，谁拿...全文 ,,无,True,无,2023-06-17 16:24,iPhone 14 Pro Max,4230,377,270
N5GOE5vGw,https://weibo.cn/comment/N5GOE5vGw?uid=2014433131&rl=0#cmtfrm,乐观主义，未来会是越来越稀缺的品质。如果你遇到一个乐观主义者，请不要着急定义他是个傻逼。往往可能是因为他看到了比你悲观预期还悲观的可能，转而回头支持一些看起来不甚理想的解决方案，并乐见其成。鲁迅的说法是：真的勇士敢于直面惨淡的人生，而不溺死在众人的悲观里。  ,,无,True,无,2023-06-17 10:13,iPhone 14 Pro Max,4089,296,324
N5zhVaWS5,https://weibo.cn/comment/N5zhVaWS5?uid=2014433131&rl=0#cmtfrm,这周还行，五个交易日都没亏钱，就是做得很累。希望再辛苦一两周，市场能进入一个轻松点的阶段。周末愉快  ,,无,True,无,2023-06-16 15:03,微博网页版,3457,10,358
N5x2MvNbS,https://weibo.cn/comment/N5x2MvNbS?uid=2014433131&rl=0#cmtfrm,"转发理由:对AI和机器人的关联性判断，在盘面反馈是对的。但配的票没有配到市场最兴奋的点。有点类似当年，市场狂炒N型电池时，去看了钙钛矿。还是需要修正到市场均值预期上。  
原始用户: 唐史主任司马迁
转发内容: 最近市场炒了不少科技概念的东西，其实这些东西也不是全虚头巴脑，而是会组成下一个技术生态。比如说单看脑机接口没啥意思，但脑机接口如果+MR，那么现在的面部表情识别和眼球追踪等人体追踪，就会被脑机强赋能，因为脑机高出一个纬度。当脑机+MR后，甚至手势识别都不用了，看官可能觉得这个科幻，实...全文 ",无,,False,无,2023-06-16 09:20,微博网页版,1715,32,89
N5wyKD6M7,https://weibo.cn/comment/N5wyKD6M7?uid=2014433131&rl=0#cmtfrm,昨天盘面还是持续过万亿，这是一个好迹象，只要量稳定在万亿之上，市场就至少可以容纳三个主要板块的轮动。从轮动的角度看，昨天主要是新能源拉升，并且导致了部分AI股的回调，汽车整体还是呈现良性趋势。这种切换是市场面向二季报，对确定性的内生需求导致的，和AI本身没啥关系。从既往经验看，即使是...全文 ,,无,True,无,2023-06-16 08:06,微博网页版,3269,68,215
N5owxqQnz,https://weibo.cn/comment/N5owxqQnz?uid=2014433131&rl=0#cmtfrm,"转发理由:本来不想转发的，看到这个评论，忍不住了//@向愚XY:在疫情期间制作基于马克马洪线地图的海报，并因此被英国大使馆关注  
原始用户: 韬闻
转发内容: 绝顶高手，不服不行  原图 ",无,http://ww2.sinaimg.cn/large/005PTIKbgy1hey3n5p2quj30bb0a53zl.jpg,False,无,2023-06-15 11:39,微博网页版,5040,3066,557
N5ow1cd3b,https://weibo.cn/comment/N5ow1cd3b?uid=2014433131&rl=0#cmtfrm,想赚快钱，有想赚大钱，也有想赚又大又快的钱，小作文的大计算器里才有。你赚盈利，他嘎本金，皆大欢喜。  ,,无,True,无,2023-06-15 11:38,微博网页版,2992,0,148
N5okyvsP9,https://weibo.cn/comment/N5okyvsP9?uid=2014433131&rl=0#cmtfrm,K型复苏--优势产业率先复苏--全面复苏这三段分，目前看是有效的，可以预判盘面运动方向。  ,,无,True,无,2023-06-15 11:09,微博网页版,2612,71,132
N5oan5SDk,https://weibo.cn/comment/N5oan5SDk?uid=2014433131&rl=0#cmtfrm,赛道和AI已经不冲突一周了，不要用老观点看。首先买AI的人，好多也是赛道出来的，临近中报，回归自己的持仓很正常，相比一季报，股价更低，业绩更好，确定性更高。此外，中美关系唯一没有掀桌子的便是在新能源--气候上的合作，交易缓和，也会反馈在这一方向。AI还在疯狗浪，但能疯多久不知道。利好...全文 ,,无,True,无,2023-06-15 10:44,微博网页版,2543,58,131
N5nolFODE,https://weibo.cn/comment/N5nolFODE?uid=2014433131&rl=0#cmtfrm,从现在向后的一年，是很重要的转折时间。我们一定要去看一个变化，就是房子这个居民储蓄的主要投向，预期被打破了。从房子永远涨，到一线永远涨，到核心豪宅不会跌，现在已经到了“人有多大胆，价有多大砍”。且不说上海，北京豪宅市场被砍掉2000-3000万价格空间的有的是。这种预期的扭转，是在低利...全文 ,,无,True,无,2023-06-15 08:46,微博网页版,6010,880,635
N5nfz8LUk,https://weibo.cn/comment/N5nfz8LUk?uid=2014433131&rl=0#cmtfrm,联储昨晚说了一大堆，意思是我们6月不加，不代表后面不加。说后面要加，也不代表一定加，还是老规矩，一期一期讨论过去。这通话反馈在掉期利率上，当前显示是今年还会加。真的说预期管理，没有比联储做得更好的了，老奸巨猾，长袖善舞。最近出来的很多数据，大家比较关心的是进出口这种。昨天出来了...全文 ,,无,True,无,2023-06-15 08:24,微博网页版,3351,118,238
N5h4X2HSh,https://weibo.cn/comment/N5h4X2HSh?uid=2014433131&rl=0#cmtfrm,接了电信诈骗电话，和诈骗人员好好讲了一番道理，将来AI会取代他们，男怕入错行，诈骗人员也表示认同。聊久了点，民警就打电话来了，我一再表示不会被骗，他一再担心我会被骗。然后我只能说，我是炒股的，A股每天加班加点发明诈骗小作文，也没能把我骗了。要不来管管小作文吧！民警表示，这事他们管...全文 ,,无,True,无,2023-06-14 16:42,iPhone 14 Pro Max,5007,107,565
N5g80jqcu,https://weibo.cn/comment/N5g80jqcu?uid=2014433131&rl=0#cmtfrm,涨了三天，又有大IPO，所以博弈一下很正常，不用到处找原因。关键是，自己持仓的核心筹码，能见度好的，别被震走了。  ,,无,True,无,2023-06-14 14:16,iPhone 14 Pro Max,2775,20,190
N5dQG5XzK,https://weibo.cn/comment/N5dQG5XzK?uid=2014433131&rl=0#cmtfrm,晚间AMD发布了MI300X，可运行800亿参数模型，其HBM密度最高是英伟达AI芯片H100的2.4倍，其HBM带宽最高是H100的1.6倍。股价反馈上，AMD收跌，NV收涨且重新站上一万亿。议息方面符合市场预期，后续是否会继续加，美股多头大多表示谨慎。从衰退的角度来看，由于美国经济中的服务业占比较大，所以反馈衰退...全文 ,,无,True,无,2023-06-14 08:28,微博网页版,3680,127,253
N55qW43CT,https://weibo.cn/comment/N55qW43CT?uid=2014433131&rl=0#cmtfrm,盘面轮动比较快，赚钱效应也还行。就看量能否继续配合了。  ,,无,True,无,2023-06-13 11:03,微博网页版,2469,4,177
N54Y5oSQs,https://weibo.cn/comment/N54Y5oSQs?uid=2014433131&rl=0#cmtfrm,"转发理由:充换电昨天市场没反馈，今天有效修正  
原始用户: 唐史主任司马迁
转发内容: 明早有点事情，先码一下。今天成交量有所恢复，过了9500亿，市场交投活跃，汽车、新能源这种传统赛道和AI呈现了良性上涨，不再跟以前似的抽血。从市场的整体预期来看，交易复苏线，已经逐步成为了共识。之前咱们也聊过，交易复苏先是交易K型复苏，然后才交易优势行业率先转好，最后才可能基于前面二...全文 ",无,,False,无,2023-06-13 09:52,微博网页版,1277,2,25
N54MNFgCZ,https://weibo.cn/comment/N54MNFgCZ?uid=2014433131&rl=0#cmtfrm,央行今日进行20亿元7天期逆回购操作，中标利率为1.90%，此前为2.00%。  ,,无,True,无,2023-06-13 09:24,微博网页版,1632,13,57
N54yZCQNd,https://weibo.cn/comment/N54yZCQNd?uid=2014433131&rl=0#cmtfrm,"转发理由:外盘涨得很好，尊重市场很大程度上便是尊重流动性这个基本要素。  
原始用户: 唐史主任司马迁
转发内容: 明早有点事情，先码一下。今天成交量有所恢复，过了9500亿，市场交投活跃，汽车、新能源这种传统赛道和AI呈现了良性上涨，不再跟以前似的抽血。从市场的整体预期来看，交易复苏线，已经逐步成为了共识。之前咱们也聊过，交易复苏先是交易K型复苏，然后才交易优势行业率先转好，最后才可能基于前面二...全文 ",无,,False,无,2023-06-13 08:50,iPhone 14 Pro Max,1772,15,95
N4ZTQok5m,https://weibo.cn/comment/N4ZTQok5m?uid=2014433131&rl=0#cmtfrm,明早有点事情，先码一下。今天成交量有所恢复，过了9500亿，市场交投活跃，汽车、新能源这种传统赛道和AI呈现了良性上涨，不再跟以前似的抽血。从市场的整体预期来看，交易复苏线，已经逐步成为了共识。之前咱们也聊过，交易复苏先是交易K型复苏，然后才交易优势行业率先转好，最后才可能基于前面二...全文 ,,无,True,无,2023-06-12 20:58,微博网页版,4514,170,260
N4VTqvEkj,https://weibo.cn/comment/N4VTqvEkj?uid=2014433131&rl=0#cmtfrm,"转发理由:早上也说了，全城全域放开FSD概率不大，其实真看汽车的，都知道这个传闻概率不大。但盘面还是涨，那说明人心思涨。更多看德国方向吧，跟踪下来有催化，但我不方便讨论。  
原始用户: 唐史主任司马迁
转发内容: 本周有13家IPO，募集1400+亿。大块头的先正达、华电新能、华虹半导体陆续上来，堪称这几年IPO的高潮。按照以往的惯例，市场对这种集中发行，持负面态度。但抽血结束后，市场会进入修复期。从资金消耗的角度看，一般不怎么炒，触发绿鞋的，消耗活跃资金少一些。但热炒导致顶部放量被套的，对市场影响较...全文 ",无,,False,无,2023-06-12 10:46,微博网页版,1685,17,72
N4VFF6KbE,https://weibo.cn/comment/N4VFF6KbE?uid=2014433131&rl=0#cmtfrm,汽车今天还行，延续了周五的走法。今年整车除了T系和客车外，利润被压制是肯定的。所以走备货逻辑和智能化逻辑，是正确的。这个行业比半导体还白，研究过度了，跟着数据转正走趋势的概率大。但不排除一些细分逻辑被游资做妖股，比如之前的汽车外贸。  ,,无,True,无,2023-06-12 10:12,微博网页版,2098,25,83
N4UYIcFRp,https://weibo.cn/comment/N4UYIcFRp?uid=2014433131&rl=0#cmtfrm,本周有13家IPO，募集1400+亿。大块头的先正达、华电新能、华虹半导体陆续上来，堪称这几年IPO的高潮。按照以往的惯例，市场对这种集中发行，持负面态度。但抽血结束后，市场会进入修复期。从资金消耗的角度看，一般不怎么炒，触发绿鞋的，消耗活跃资金少一些。但热炒导致顶部放量被套的，对市场影响较...全文 ,,无,True,无,2023-06-12 08:26,微博网页版,3940,194,296
N4GyZbu52,https://weibo.cn/comment/N4GyZbu52?uid=2014433131&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 中国政府网
转发内容: 【李强在辽宁调研时强调 大力优化营商环境 增强发展动力活力 推动东北全面振兴取得新突破】李强在辽宁调研时强调：大力优化营商环境 增强发展动力活力 推动东北全面振兴取得新突破  原图 ",无,http://ww4.sinaimg.cn/large/005sq2Yvly1hesejjyxvbj60m80i6dlx02.jpg,False,无,2023-06-10 19:44,微博网页版,27,1,0
N4DgWgfQf,https://weibo.cn/comment/N4DgWgfQf?uid=2014433131&rl=0#cmtfrm,分享图片  [组图共3张] 原图 ,http://ww1.sinaimg.cn/large/7811cf6bly1hesyl1zo3vj20u0140jxg.jpg http://ww1.sinaimg.cn/large/7811cf6bly1hesyl2asbaj20u0140450.jpg http://ww4.sinaimg.cn/large/7811cf6bly1hesyl2lw99j20u0140te9.jpg,无,True,无,2023-06-10 11:21,iPhone 14 Pro Max,2762,16,424
N4vhko8Ux,https://weibo.cn/comment/N4vhko8Ux?uid=2014433131&rl=0#cmtfrm,周末愉快  ,,无,True,无,2023-06-09 15:00,微博网页版,2886,13,430
N4tybF22x,https://weibo.cn/comment/N4tybF22x?uid=2014433131&rl=0#cmtfrm,最近市场炒了不少科技概念的东西，其实这些东西也不是全虚头巴脑，而是会组成下一个技术生态。比如说单看脑机接口没啥意思，但脑机接口如果+MR，那么现在的面部表情识别和眼球追踪等人体追踪，就会被脑机强赋能，因为脑机高出一个纬度。当脑机+MR后，甚至手势识别都不用了，看官可能觉得这个科幻，实...全文 ,,无,True,无,2023-06-09 10:36,微博网页版,3551,357,267
N4sofhm8M,https://weibo.cn/comment/N4sofhm8M?uid=2014433131&rl=0#cmtfrm,今天早上有点事情要办，就不码字了。创板已经三年新低了，沪深300继续下探，也基本到之前极度恐慌的位置。再跌会跌出机会了，配置方向选好票等进入区间。至于短线交易，高位票得不到成交量支持，只能是抱团。一旦市场出现反转，抱团的资金反而会夺门而出。耐心+信心。  ,,无,True,无,2023-06-09 07:39,iPhone 14 Pro Max,3411,62,291
N4kaBDplH,https://weibo.cn/comment/N4kaBDplH?uid=2014433131&rl=0#cmtfrm,除了MR发布那个早上搞点空间计算这几天还行外，其他的都很卷，AI也开始卷。虽然这个时候应该保持耐心，但真的被卷得很烦。  ,,无,True,无,2023-06-08 10:43,微博网页版,2860,14,304
N4jfJkXMl,https://weibo.cn/comment/N4jfJkXMl?uid=2014433131&rl=0#cmtfrm,成交量又回到了八千亿附近，不管是什么板块，大票自然比较难以上涨。所以“股价自主可控”的小盘股再度为资金热捧。上个月，某报还写了一篇文章说不必过度关注成交量。是的，我们也不用过度关注自己的血量，水库也不必过度关注库容水位，开飞机都不用检查燃油表。曾几何时，我们3000个股票能有一万多亿...全文 ,,无,True,无,2023-06-08 08:23,微博网页版,4806,170,394
N4ctHjgx9,https://weibo.cn/comment/N4ctHjgx9?uid=2014433131&rl=0#cmtfrm,虽然当现金配的部分，今天遭受了不少冲击，但收盘净值还行。从配置角度看，6月前五个交易日还是可以的。虽然从博弈的角度，可能还要互相掐巴到月中或者下旬，但就净值来感受，调整接近尾声了。  ,,无,True,无,2023-06-07 15:09,微博网页版,2630,18,185
N4af41Vha,https://weibo.cn/comment/N4af41Vha?uid=2014433131&rl=0#cmtfrm,今天再跌，会尽一下多头义务。盘中看有啥砸过头的。  ,,无,True,无,2023-06-07 09:27,微博网页版,3062,10,281
N49ELzPMs,https://weibo.cn/comment/N49ELzPMs?uid=2014433131&rl=0#cmtfrm,最近不少朋友反馈评论区的质量快速下降，这很正常，咱们这扎堆的人群，马上满十年了。大浪淘沙，该跑出来的，基本都过了30-50M的水线了，过了这个水线后，反馈会变成简明扼要的要点反馈。至于更好一些的，已然有微博以外的交集。也有人问我为啥每天都写点东西，甚至大佬们会教育我，写了别发微博，发群...全文 ,,无,True,无,2023-06-07 07:58,微博网页版,5807,292,615
N451WgJ4f,https://weibo.cn/comment/N451WgJ4f?uid=2014433131&rl=0#cmtfrm,下午跌麻了，痛定思痛，复盘了一下持仓的盈亏根源，挺有意思的。自2017年开始统计，主仓迄今赚钱前五的票，持股都炒过300个交易日。当然，持股周期长，不是死拿不动，一般只要节奏看得准，都会根据行业和个股兑现点做做波段。主仓亏损最多的五个票，基本持股都在40-70个交易日。一个是基本面出问题，...全文 ,,无,True,无,2023-06-06 20:11,微博网页版,4286,228,461
N41mJcM8p,https://weibo.cn/comment/N41mJcM8p?uid=2014433131&rl=0#cmtfrm,盘面走得很零散，量也不够，所以资金推小票的居多。看下午有啥能聚焦的东西吧。  ,,无,True,无,2023-06-06 10:51,微博网页版,2632,7,274
N40ee4pIi,https://weibo.cn/comment/N40ee4pIi?uid=2014433131&rl=0#cmtfrm,Vision Pro发布了，从传统消电视角看，玩个游戏，看个电影以及部分办公功能都是满足的，符合预期。但产品发布的重点在空间计算，不算是配属的两个新票还是镜面像素，都支持后续开发出更强的，基于空间计算的应用。比如说我们现在医疗系统的内窥镜成像，是在屏幕显示的，如果使用空间计算，戴上眼镜就可...全文 ,,无,True,无,2023-06-06 07:57,微博网页版,3326,110,297
N3UWJyqlB,https://weibo.cn/comment/N3UWJyqlB?uid=2014433131&rl=0#cmtfrm,想把恋爱虚拟人训练好，需要喂杀猪盘的语料。  ,,无,True,无,2023-06-05 18:31,微博网页版,2534,22,159
N3TOuF7iM,https://weibo.cn/comment/N3TOuF7iM?uid=2014433131&rl=0#cmtfrm,警告⚠️护盾融化50%，启动紧急降温！警告⚠️启动紧急降温失败，距离最近的阴凉处约120米。警告❗️护盾完全融化，生命值降低10%，距离目的地95米。警告‼️生命值降低50%，距离目的地80米。警告⚠️⚠️⚠️三成熟，距离目的地60米。警告‼️‼️七成熟，距离目的地40米。任务失败，选择黑...全文 ,,无,True,无,2023-06-05 15:38,iPhone 14 Pro Max,2425,12,272
N3S1VaQb6,https://weibo.cn/comment/N3S1VaQb6?uid=2014433131&rl=0#cmtfrm,今天科创板的指数ETF期权上线，看了一下，以588000为例，发行这么久后，总盘子其实挺大了，对应的ETF期权交投目前还有待提升。估计是产品的对应策略还没有调整。等对冲逐步到位后，应该会好些。有对冲工具，对于大资金来说，出入会顺畅些。这方面可以关注，等看后续有啥对应的生态变化。  原图 ,http://ww3.sinaimg.cn/large/7811cf6bly1hen60bd4b1j21iw0crwxk.jpg,无,True,无,2023-06-05 11:05,微博网页版,2030,24,113
N3RjECPgb,https://weibo.cn/comment/N3RjECPgb?uid=2014433131&rl=0#cmtfrm,@猎聘APP 你们是有病吗？准点9:15给一个做交易的人打电话套信息，不怕在工信部投诉是吗？  ,,无,True,无,2023-06-05 09:16,微博网页版,2384,3,171
N3Ms33UYi,https://weibo.cn/comment/N3Ms33UYi?uid=2014433131&rl=0#cmtfrm,国常会释放了不少政策，新能源车的政策包加了充电，符合市场预期。至于市场是视为政策兑现，还是视为这是政策托底的开始。仁者见仁智者见智。这种预期指引，通稿原位是这么说的“从企业实际需求出发，在放宽市场准入、促进公平竞争、保护知识产权、建设统一大市场等方面，分批次加快推出针对性强、含金...全文 ,,无,True,无,2023-06-04 20:53,微博网页版,4044,144,269
N3xmLqBox,https://weibo.cn/comment/N3xmLqBox?uid=2014433131&rl=0#cmtfrm,前几天市场涨铁路，然后大家惊呼，为啥拉铁路？似乎拉铁路会影响到AI，不应该来。可实际情况是潍坊到宿迁段批复，京沪高铁二线全面开工。这不该涨涨？这几天，汽车向企稳了一下，零部件和上游都企稳了一下。然后又有惊呼，没事搞毛汽车啊！似乎汽车也影响到了AI，不该涨。可实际情况是，锂电上游库存...全文 ,,无,True,无,2023-06-03 06:29,微博网页版,5819,576,567
N3ri1CGVS,https://weibo.cn/comment/N3ri1CGVS?uid=2014433131&rl=0#cmtfrm,周末愉快  ,,无,True,无,2023-06-02 15:01,微博网页版,2788,7,345
